expt_id,group_id,network_error_repeat,participant_id,participation_duration,response_correct,response_mode,response_name,response_rt,response_target,response_type,response_value,session_id,stimuli_presented,trial_duration,trial_num,trial_template,server,presentation_order,age
613a86a7a8b97c53954cefb2,default,0,38,1261.086651,TRUE,keypress,resp_sovm4_polis_komiseri_goturdu_2c_01_14,2549,['polis'],choice-response,polis,613a95f576739980a84d5f0b,sovm4_polis_komiseri_goturdu_2c_01,4761,110,SOVM4_2c,eu,backward,37
613a86a7a8b97c53954cefb2,default,0,38,1261.086651,TRUE,keypress,resp_ovsm7_kasabi_azarladi_balikci_2c_01_29,3339,['kasap'],choice-response,kasap,613a95f576739980a84d5f0b,ovsm7_kasabi_azarladi_balikci_2c_01,5631,111,OVSM7_2c,eu,backward,37
613a86a7a8b97c53954cefb2,default,0,38,1261.086651,TRUE,keypress,resp_sovu1_kiz_oglan_sevdi_2b_01_23,2744,['oglan'],choice-response,oglan,613a95f576739980a84d5f0b,sovu1_kiz_oglan_sevdi_2b_01,4764,112,SOVU1_2b,eu,backward,37
613a86a7a8b97c53954cefb2,default,0,38,1261.086651,TRUE,keypress,resp_sovu1_taksici_minibuscu_oldurdu_2c_01_22,3441,['taksici'],choice-response,taksici,613a95f576739980a84d5f0b,sovu1_taksici_minibuscu_oldurdu_2c_01,5843,113,SOVU1_2c,eu,backward,37
613a86a7a8b97c53954cefb2,default,0,38,1261.086651,TRUE,keypress,resp_sovu8_dayi_yegen_sevindirdi_2c_01_41,3612,['yegen'],choice-response,yegen,613a95f576739980a84d5f0b,sovu8_dayi_yegen_sevindirdi_2c_01,5920,114,SOVU8_2c,eu,backward,37
613a86a7a8b97c53954cefb2,default,0,38,1261.086651,TRUE,keypress,resp_ovsm5_kadini_etkiledi_delikanli_2a_01_15,4346,['kadin'],choice-response,kadin,613a95f576739980a84d5f0b,ovsm5_kadini_etkiledi_delikanli_2a_01,6691,115,OVSM5_2a,eu,backward,37
613a86a7a8b97c53954cefb2,default,0,38,1261.086651,TRUE,keypress,resp_ovsu2_maymun_yakaladi_kaplan_2c_01_03,3328,['maymun'],choice-response,maymun,613a95f576739980a84d5f0b,ovsu2_maymun_yakaladi_kaplan_2c_01,5447,116,OVSU2_2c,eu,backward,37
613a86a7a8b97c53954cefb2,default,0,38,1261.086651,TRUE,keypress,resp_sovu5_usak_temizlikci_gozetledi_2c_01_18,5488,['usak'],choice-response,usak,613a95f576739980a84d5f0b,sovu5_usak_temizlikci_gozetledi_2c_01,7803,117,SOVU5_2c,eu,backward,37
613a86a7a8b97c53954cefb2,default,0,38,1261.086651,TRUE,keypress,resp_sovm9_manken_muzisyeni_bosadi_2a_01_28,1565,['manken'],choice-response,manken,613a95f576739980a84d5f0b,sovm9_manken_muzisyeni_bosadi_2a_01,3878,118,SOVM9_2a,eu,backward,37
613a86a7a8b97c53954cefb2,default,0,38,1261.086651,TRUE,keypress,resp_sovm4_geyik_ormanciyi_korkuttu_2a_01_30,1885,['geyik'],choice-response,geyik,613a95f576739980a84d5f0b,sovm4_geyik_ormanciyi_korkuttu_2a_01,4192,119,SOVM4_2a,eu,backward,37
613a86a7a8b97c53954cefb2,default,0,38,1261.086651,TRUE,keypress,resp_catch5_ovsm22c,11145,['oglan'],choice-response,oglan,613a95f576739980a84d5f0b,ovsm2_oglani_sevdi_kiz_2c_01,13176,120,catch5_ovsm22c,eu,backward,37
613a86a7a8b97c53954cefb2,default,0,38,1261.086651,TRUE,keypress,resp_sovu8_balikci_kasap_azarladi_2b_01_29,9507,['kasap'],choice-response,kasap,613a95f576739980a84d5f0b,sovu8_balikci_kasap_azarladi_2b_01,11833,121,SOVU8_2b,eu,backward,37
