,tier,sentence,label,interval,third,F0,F0sd,F0max,F0min,dB,dBsd,dBmax,duration,wo,case,propcontent,"propcontent_no,",quart,pno,grammatical_role,diffo3v1
85,1,ovsm3_gazeteciyi_gosterdi_editor_2d_01,goster,3,1,222.1171988,17.73953641,244.2549017,197.3635904,55.79523111,4.263929581,59.4494017,0.999637188,ovs,m,gazeteciyigosterdieditor,17,2d,1,verb,17.7354405
86,1,ovsm3_gazeteciyi_gosterdi_editor_2d_01,goster,3,2,195.4103143,NA,197.3635904,188.8317236,43.17304167,4.658326821,49.3179513,0.999637188,ovs,m,gazeteciyigosterdieditor,17,2d,1,verb,17.7354405
87,1,ovsm3_gazeteciyi_gosterdi_editor_2d_01,goster,3,3,181.9383817,3.297447184,188.8317236,179.2237755,43.17304167,1.382526941,52.44792462,0.999637188,ovs,m,gazeteciyigosterdieditor,17,2d,1,verb,17.7354405
88,1,ovsm3_gazeteciyi_gosterdi_editor_2d_01,editor,5,1,170.0290641,68.44614053,273.0641907,82.54792309,48.7714754,3.577248521,51.48439777,1.597052154,ovs,m,gazeteciyigosterdieditor,17,2d,1,subject,17.7354405
89,1,ovsm3_gazeteciyi_gosterdi_editor_2d_01,editor,5,2,197.6449469,9.468709191,209.6338702,187.8915341,49.06660904,7.378987276,53.51085094,1.597052154,ovs,m,gazeteciyigosterdieditor,17,2d,1,subject,17.7354405
90,1,ovsm3_gazeteciyi_gosterdi_editor_2d_01,editor,5,3,186.0598919,3.415602201,194.403446,182.92731,49.06660904,1.894427625,53.66376997,1.597052154,ovs,m,gazeteciyigosterdieditor,17,2d,1,subject,17.7354405
91,1,ovsm3_maymunu_yakaladi_kaplan_2b_01,maymun,1,1,229.3789442,3.009233444,232.7529338,226.2941848,60.11608606,0.227927905,60.25725074,0.355918367,ovs,m,maymunuyakaladikaplan,3,2b,1,object,2.9351917
92,1,ovsm3_maymunu_yakaladi_kaplan_2b_01,maymun,1,2,232.016474,1.146771482,233.1518084,230.4360861,60.75260841,0.441587934,61.4842027,0.355918367,ovs,m,maymunuyakaladikaplan,3,2b,1,object,2.9351917
93,1,ovsm3_maymunu_yakaladi_kaplan_2b_01,maymun,1,3,236.4278072,3.601980556,243.5038172,231.8283743,60.75260841,0.4281678,62.12049942,0.355918367,ovs,m,maymunuyakaladikaplan,3,2b,1,object,2.9351917
94,1,ovsm3_maymunu_yakaladi_kaplan_2b_01,yakala,3,1,233.4926155,9.840260832,248.6222205,223.9872157,59.50276712,2.54460018,61.37478154,0.766666667,ovs,m,maymunuyakaladikaplan,3,2b,1,verb,2.9351917
95,1,ovsm3_maymunu_yakaladi_kaplan_2b_01,yakala,3,2,218.6150783,6.773879047,223.9872157,207.6504697,50.77431746,7.044286103,55.96934741,0.766666667,ovs,m,maymunuyakaladikaplan,3,2b,1,verb,2.9351917
96,1,ovsm3_maymunu_yakaladi_kaplan_2b_01,yakala,3,3,193.7259063,5.802494495,207.6504697,188.0629249,50.77431746,1.314983023,56.3818869,0.766666667,ovs,m,maymunuyakaladikaplan,3,2b,1,verb,2.9351917
97,1,ovsm3_maymunu_yakaladi_kaplan_2b_01,kaplan,5,1,195.0609863,3.950055135,199.2237256,190.4877355,49.26435402,6.378673274,53.79450641,1.327505669,ovs,m,maymunuyakaladikaplan,3,2b,1,subject,2.9351917
98,1,ovsm3_maymunu_yakaladi_kaplan_2b_01,kaplan,5,2,100.773323,69.00748745,190.4877355,56.32807624,44.55729522,7.476717736,52.63745152,1.327505669,ovs,m,maymunuyakaladikaplan,3,2b,1,subject,2.9351917
99,1,ovsm3_maymunu_yakaladi_kaplan_2b_01,kaplan,5,3,187.5716183,5.141661458,194.8457739,183.8878674,44.55729522,1.676984788,52.00493573,1.327505669,ovs,m,maymunuyakaladikaplan,3,2b,1,subject,2.9351917
100,1,ovsm3_ormanciyi_korkuttu_geyik_2c_01,ormanci,1,1,229.4866028,2.321479413,232.3984876,226.914159,61.02922966,0.143132984,61.1800562,0.44675737,ovs,m,ormanciyikorkuttugeyik,30,2c,1,object,-49.3410675
101,1,ovsm3_ormanciyi_korkuttu_geyik_2c_01,ormanci,1,2,225.5227475,5.180736726,231.9995848,218.2115662,60.65109259,1.539614632,62.4817081,0.44675737,ovs,m,ormanciyikorkuttugeyik,30,2c,1,object,-49.3410675
102,1,ovsm3_ormanciyi_korkuttu_geyik_2c_01,ormanci,1,3,212.1840771,8.180133292,223.6385188,199.2063967,60.65109259,3.657550923,59.53514483,0.44675737,ovs,m,ormanciyikorkuttugeyik,30,2c,1,object,-49.3410675
103,1,ovsm3_ormanciyi_korkuttu_geyik_2c_01,korkut,3,1,261.5251446,10.40964257,270.5243274,248.7254181,51.44824063,8.176998139,58.68062761,0.948662132,ovs,m,ormanciyikorkuttugeyik,30,2c,1,verb,-49.3410675
